DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DC7HONE	DMUM7HZ	Fluorouracil	Approved	34.0	DM27D4J	PD-0325901	Phase 2	21.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	0.33	3.92	6.04	6.89	2
DC5X7DL	DMUM7HZ	Fluorouracil	Approved	34.0	DM27D4J	PD-0325901	Phase 2	21.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	3.62	2.56	4.32	8.92	2
DCZBRAF	DMUM7HZ	Fluorouracil	Approved	34.0	DM27D4J	PD-0325901	Phase 2	21.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.1	1.48	2.07	6.19	2
DCDZFYY	DMUM7HZ	Fluorouracil	Approved	34.0	DM27D4J	PD-0325901	Phase 2	21.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	3.65	4.38	3.49	11.21	2
DC6MMP7	DMUM7HZ	Fluorouracil	Approved	34.0	DM3BH1Y	Lapatinib	Approved	34.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	5.94	5.4	1.29	7.81	2
DCN25FH	DMUM7HZ	Fluorouracil	Approved	34.0	DM3BH1Y	Lapatinib	Approved	34.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.04	3.26	4.46	8.92	2
DCDPWLJ	DMUM7HZ	Fluorouracil	Approved	34.0	DM3BH1Y	Lapatinib	Approved	34.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	9.08	9.9	7.99	13.8	2
DCYNRI3	DMUM7HZ	Fluorouracil	Approved	34.0	DM3BH1Y	Lapatinib	Approved	34.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	5.97	6.63	11.94	15.38	2
DC5NCO4	DMUM7HZ	Fluorouracil	Approved	34.0	DM3WDZ5	MK-1775	Phase 2	21.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	1.1	2.38	3.76	7.61	2
DC631VR	DMUM7HZ	Fluorouracil	Approved	34.0	DM3WDZ5	MK-1775	Phase 2	21.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	0.48	3.34	6.89	11.0	2
DCNHKBV	DMUM7HZ	Fluorouracil	Approved	34.0	DM3WDZ5	MK-1775	Phase 2	21.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	8.99	9.03	9.93	14.77	2
DC6857R	DMUM7HZ	Fluorouracil	Approved	34.0	DMMWZET	Dexamethasone	Phase 3 Trial	25.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.15	5.95	7.97	14.25	2
DCNTWNJ	DMUM7HZ	Fluorouracil	Approved	34.0	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	5.0	6.17	4.1	8.71	2
DCQ5WMI	DMUM7HZ	Fluorouracil	Approved	34.0	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	3.49	4.26	4.29	9.48	2
DCHJLMV	DMUM7HZ	Fluorouracil	Approved	34.0	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	3.11	2.71	5.21	9.41	2
DCSNU3J	DMUM7HZ	Fluorouracil	Approved	34.0	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	7.47	8.18	5.18	10.8	2
DCC3NNC	DMUM7HZ	Fluorouracil	Approved	34.0	DM2TEOL	Methotrexate	Phase 1/2 Trial	19.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	4.57	3.68	1.31	7.6	2
DCIVGRH	DMUM7HZ	Fluorouracil	Approved	34.0	DM5TVS3	Vinblastine	Approved	34.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	9.96	6.09	4.05	8.24	2
DC6NZAA	DMUM7HZ	Fluorouracil	Approved	34.0	DM5TVS3	Vinblastine	Approved	34.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	1.18	0.3	1.49	4.37	2
DCKUELH	DMUM7HZ	Fluorouracil	Approved	34.0	DM5TVS3	Vinblastine	Approved	34.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	7.32	12.69	7.1	14.03	2
DCRFSIY	DMUM7HZ	Fluorouracil	Approved	34.0	DM5TVS3	Vinblastine	Approved	34.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	15.63	15.06	11.74	16.93	2
DCG6R2J	DMUM7HZ	Fluorouracil	Approved	34.0	DM62QTW	RTB101	Phase 3	25.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	4.72	4.13	5.18	8.75	2
DCZ765I	DMUM7HZ	Fluorouracil	Approved	34.0	DM62QTW	RTB101	Phase 3	25.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.75	1.74	3.67	8.04	2
DCLM10J	DMUM7HZ	Fluorouracil	Approved	34.0	DM62QTW	RTB101	Phase 3	25.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	1.16	0.74	4.67	8.43	2
DCO29V1	DMUM7HZ	Fluorouracil	Approved	34.0	DM62QTW	RTB101	Phase 3	25.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	2.72	2.41	4.32	8.75	2
DCUEXMJ	DMUM7HZ	Fluorouracil	Approved	34.0	DM67EMK	SCH-900776	Phase 2	21.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	4.47	3.9	1.53	6.06	2
DCWJWRH	DMUM7HZ	Fluorouracil	Approved	34.0	DM67EMK	SCH-900776	Phase 2	21.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	4.78	0.22	2.32	1.12	2
DCVG2RL	DMUM7HZ	Fluorouracil	Approved	34.0	DM67EMK	SCH-900776	Phase 2	21.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	0.95	0.85	6.13	8.95	2
DCU1EKM	DMUM7HZ	Fluorouracil	Approved	34.0	DMSE3I7	Gemcitabine	Preclinical	2.1	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.52	2.61	6.93	11.17	2
DC2YD4T	DMUM7HZ	Fluorouracil	Approved	34.0	DM9WLN4	10-hydroxycamptothecin	Investigative	0.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	3.08	5.65	8.57	10.58	2
DC8LLV4	DMUM7HZ	Fluorouracil	Approved	34.0	DM9WLN4	10-hydroxycamptothecin	Investigative	0.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	KPL1	2.33	8.34	12.19	14.05	2
DCXKB9R	DMUM7HZ	Fluorouracil	Approved	34.0	DM9WLN4	10-hydroxycamptothecin	Investigative	0.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	3.51	2.59	2.14	7.93	2
DCQVW73	DMUM7HZ	Fluorouracil	Approved	34.0	DMB5A80	SNX-2112	Investigative	0.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	16.67	12.7	16.24	12.75	2
DC7PUKI	DMUM7HZ	Fluorouracil	Approved	34.0	DMB5A80	SNX-2112	Investigative	0.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289+BRCA1	2.12	4.17	0.32	5.33	2
DC30EOL	DMUM7HZ	Fluorouracil	Approved	34.0	DMB5A80	SNX-2112	Investigative	0.0	.	.	.	.	Breast carcinoma	JAAKS Dataset	Investigative	OCUBM	0.1	3.07	1.43	5.34	2
DCBU8L8	DMUM7HZ	Fluorouracil	Approved	34.0	DMCJLD1	SCH 727965	Discontinued in Phase 3	9.0	.	.	.	.	Breast and ovarian cancer syndrome	JAAKS Dataset	Investigative	UWB1289	1.72	3.4	4.13	8.88	2
