DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCCQEC5	DMCMBHA	Erlotinib	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Non-Squamous Non-Small Cell Lung Cancer	ClinicalTrials.gov	Phase 3	.					3
DC0K3P2	DMCMBHA	Erlotinib	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Non Small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCRJL0M	DMCMBHA	Erlotinib	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCZQ27L	DMCMBHA	Erlotinib	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	.	.	Recurrent Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCDPJ7J	DMCMBHA	Erlotinib	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Lung Cancer	ClinicalTrials.gov	Phase 1	.					3
DCGMKYS	DMCMBHA	Erlotinib	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	.	.	Adenocarcinoma of the Lung	ClinicalTrials.gov	Phase 1	.					3
DC7IH5M	DMSE3I7	Gemcitabine	Preclinical	2.1	DMDI269	Docetaxel	Approved	34.0	DMVXFYE	Vinorelbine	.	.	Advanced Non-Small Cell Lung Cancer	ClinicalTrials.gov	Phase 3	.					3
DCH3LJR	DMSE3I7	Gemcitabine	Preclinical	2.1	DMCMBHA	Erlotinib	Approved	34.0	DMVXFYE	Vinorelbine	.	.	Non - Small Cell Lung Cancer NSCLC	ClinicalTrials.gov	Phase 3	.					3
DC4EPQ1	DMSE3I7	Gemcitabine	Preclinical	2.1	DMDI269	Docetaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Non-Squamous Non-Small Cell Lung Cancer (NSCLC)	ClinicalTrials.gov	Phase 2	.					3
DCC81JT	DMSE3I7	Gemcitabine	Preclinical	2.1	DMDI269	Docetaxel	Approved	34.0	DMMX2E6	Pemetrexed	.	.	Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCNX3HZ	DMSE3I7	Gemcitabine	Preclinical	2.1	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCZ6U23	DMSE3I7	Gemcitabine	Preclinical	2.1	DMDI269	Docetaxel	Approved	34.0	DMG281S	Carboplatin	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DC6LBVW	DM15F0X	Gefitinib	Approved	34.0	DM5GFIK	Icotinib hydrochloride	Registered	33.0	DMCMBHA	Erlotinib	.	.	Non-Small-Cell Lung Cancer	ClinicalTrials.gov	Phase 4	.					3
DCGU6CO	DM15F0X	Gefitinib	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMLB81S	Paclitaxel	.	.	Adenocarcinoma of the Lung	ClinicalTrials.gov	Phase 2	.					3
DCEQAP5	DM15F0X	Gefitinib	Approved	34.0	DM3WP0N	Al3818	Phase 3	25.0	DM5GFIK	Icotinib hydrochloride	.	.	Non-Small-Cell Lung	ClinicalTrials.gov	Phase 1	.					3
DCGQSU9	DM4F29C	Crizotinib	Approved	34.0	DM5DSFZ	Rifampicin	Approved	34.0	DMCR1MV	Itraconazole	.	.	Non-Small Cell Lung Cancer ALK-positive	ClinicalTrials.gov	Phase 1	.					3
DCD4BKP	DM3WDZ5	MK-1775	Phase 2	21.0	DMDI269	Docetaxel	Approved	34.0	DMG281S	Carboplatin	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
