DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCS8A41	DM27D4J	pD-0325901	Phase 2	21.0	DMDI269	docetaxel	Approved	34.0	DMOH8VY	dacomitinib	.	.	Colorectal Cancer	ClinicalTrials.gov	Phase 1	.					3
DCY85TZ	DM3BH1Y	lapatinib	Approved	34.0	DMQNWRD	oxaliplatin	Approved	34.0	DMTS85L	capecitabine	.	.	Neoplasms, Gastrointestinal Tract	ClinicalTrials.gov	Phase 3	.					3
DC06496	DM3BH1Y	lapatinib	Approved	34.0	DMHIDCJ	octreotide	Approved	34.0	DMTS85L	capecitabine	.	.	Cancer	ClinicalTrials.gov	Phase 2	.					3
DCXJ6ZK	DM3BH1Y	lapatinib	Approved	34.0	DM8X2EH	everolimus	Approved	34.0	DMH07Y3	letrozole	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
DC39K68	DM3BH1Y	lapatinib	Approved	34.0	DMDI269	docetaxel	Approved	34.0	DMF57DM	pazopanib	.	.	Neoplasms, Breast	ClinicalTrials.gov	Phase 1	.					3
DC8TZKW	DM3BH1Y	lapatinib	Approved	34.0	DMSE3I7	gemcitabine	Preclinical	2.1	DMQNWRD	oxaliplatin	.	.	Metastatic Pancreatic Cancer	ClinicalTrials.gov	Phase 1	.					3
DCBG7QK	DM3BH1Y	lapatinib	Approved	34.0	DM58WKG	panobinostat	Approved	34.0	DMTS85L	capecitabine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC59A3V	DM3BH1Y	lapatinib	Approved	34.0	DMQNWRD	oxaliplatin	Approved	34.0	DMTS85L	capecitabine	.	.	Neoplasms, Colorectal	ClinicalTrials.gov	Phase 1	.					3
DCO9Y73	DMNH3PG	etoposide	Phase 2 Trial	21.0	DMQUSBT	daunorubicin	Approved	34.0	DMZD5QR	cytarabine	.	.	Acute Myeloid Leukemia	ClinicalTrials.gov	Phase 3	.					3
DC0MIZ8	DMNH3PG	etoposide	Phase 2 Trial	21.0	DMXZRW0	dTI-015	Approved	34.0	DMZD5QR	cytarabine	.	.	Lymphoma	ClinicalTrials.gov	Phase 2	.					3
