DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCXJ6ZK	DM3BH1Y	lapatinib	Approved	34.0	DM8X2EH	everolimus	Approved	34.0	DMH07Y3	letrozole	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
DCBG7QK	DM3BH1Y	lapatinib	Approved	34.0	DM58WKG	panobinostat	Approved	34.0	DMTS85L	capecitabine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCKBNU3	DMSE3I7	gemcitabine	Preclinical	2.1	DMDI269	docetaxel	Approved	34.0	DMPDW6T	epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCS5S8P	DMSE3I7	gemcitabine	Preclinical	2.1	DMG281S	carboplatin	Approved	34.0	DMWBZJD	gDC-0068	.	.	Triple Negative Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCSZAA6	DMDI269	docetaxel	Approved	34.0	DMPDW6T	epirubicin	Approved	34.0	DMY38SB	cATECHIN	.	.	Breast Cancer	ClinicalTrials.gov	Phase 4	.					3
DC11HNK	DMDI269	docetaxel	Approved	34.0	DMPDW6T	epirubicin	Approved	34.0	DMTS85L	capecitabine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCSD3XA	DM4O2Z7	cyclophosphamide	Approved	34.0	DMDI269	docetaxel	Approved	34.0	DMPDW6T	epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCW552D	DM4O2Z7	cyclophosphamide	Approved	34.0	DMIZKOP	thiotepa	Approved	34.0	DMXZRW0	dTI-015	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCN7EZ7	DM4O2Z7	cyclophosphamide	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMIZKOP	thiotepa	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCU9D0Y	DM4O2Z7	cyclophosphamide	Approved	34.0	DMDI269	docetaxel	Approved	34.0	DMPDW6T	epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCDS5IT	DM4O2Z7	cyclophosphamide	Approved	34.0	DM2TEOL	methotrexate	Phase 1/2 Trial	19.0	DMTS85L	capecitabine	.	.	Breast Cancer Female	ClinicalTrials.gov	Phase 1	.					3
DCHXAOZ	DM4O2Z7	cyclophosphamide	Approved	34.0	DMLB81S	paclitaxel	Approved	34.0	DMPDW6T	epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCU90CT	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	Approved	34.0	DMVXFYE	vinorelbine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCF5OEQ	DMH07Y3	letrozole	Approved	34.0	DMNP60F	anastrozole	Approved	34.0	DMVXFYE	vinorelbine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCIMZA7	DMH07Y3	letrozole	Approved	34.0	DMIXC7G	zoledronate	Approved	34.0	DMTK4LS	triptorelin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC4RUW5	DM0YZC6	fulvestrant	Approved	34.0	DM8X2EH	everolimus	Approved	34.0	DM9HPW3	exemestane	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DC94AA9	DM0YZC6	fulvestrant	Approved	34.0	DM8X2EH	everolimus	Approved	34.0	DM9HPW3	exemestane	.	.	Advanced or Metastatic Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCDKVGD	DM0YZC6	fulvestrant	Approved	34.0	DMBL3VD	pF-05212384	Phase 2	21.0	DMD7L94	palbociclib	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
