DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCCQEC5	DMCMBHA	erlotinib	Approved	34.0	DMDI269	docetaxel	Approved	34.0	DMMX2E6	pemetrexed	.	.	Non-Squamous Non-Small Cell Lung Cancer	ClinicalTrials.gov	Phase 3	.					3
DC0K3P2	DMCMBHA	erlotinib	Approved	34.0	DMDI269	docetaxel	Approved	34.0	DMMX2E6	pemetrexed	.	.	Non Small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCRJL0M	DMCMBHA	erlotinib	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMMX2E6	pemetrexed	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCZQ27L	DMCMBHA	erlotinib	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMLB81S	paclitaxel	.	.	Recurrent Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCDPJ7J	DMCMBHA	erlotinib	Approved	34.0	DMDI269	docetaxel	Approved	34.0	DMMX2E6	pemetrexed	.	.	Lung Cancer	ClinicalTrials.gov	Phase 1	.					3
DC7IH5M	DMSE3I7	gemcitabine	Preclinical	2.1	DMDI269	docetaxel	Approved	34.0	DMVXFYE	vinorelbine	.	.	Advanced Non-Small Cell Lung Cancer	ClinicalTrials.gov	Phase 3	.					3
DCH3LJR	DMSE3I7	gemcitabine	Preclinical	2.1	DMCMBHA	erlotinib	Approved	34.0	DMVXFYE	vinorelbine	.	.	Non - Small Cell Lung Cancer NSCLC	ClinicalTrials.gov	Phase 3	.					3
DC4EPQ1	DMSE3I7	gemcitabine	Preclinical	2.1	DMDI269	docetaxel	Approved	34.0	DMMX2E6	pemetrexed	.	.	Non-Squamous Non-Small Cell Lung Cancer (NSCLC)	ClinicalTrials.gov	Phase 2	.					3
DCC81JT	DMSE3I7	gemcitabine	Preclinical	2.1	DMDI269	docetaxel	Approved	34.0	DMMX2E6	pemetrexed	.	.	Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCNX3HZ	DMSE3I7	gemcitabine	Preclinical	2.1	DMG281S	carboplatin	Approved	34.0	DMLB81S	paclitaxel	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DCZ6U23	DMSE3I7	gemcitabine	Preclinical	2.1	DMDI269	docetaxel	Approved	34.0	DMG281S	carboplatin	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DC6LBVW	DM15F0X	gefitinib	Approved	34.0	DM5GFIK	icotinib hydrochloride	Registered	33.0	DMCMBHA	erlotinib	.	.	Non-Small-Cell Lung Cancer	ClinicalTrials.gov	Phase 4	.					3
DCGQSU9	DM4F29C	crizotinib	Approved	34.0	DM5DSFZ	rifampicin	Approved	34.0	DMCR1MV	itraconazole	.	.	Non-Small Cell Lung Cancer ALK-positive	ClinicalTrials.gov	Phase 1	.					3
DCD4BKP	DM3WDZ5	mK-1775	Phase 2	21.0	DMDI269	docetaxel	Approved	34.0	DMG281S	carboplatin	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
DC4CO7S	DMDI269	docetaxel	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMMX2E6	pemetrexed	.	.	Non-small Cell Lung Cancer	ClinicalTrials.gov	Phase 3	.					3
DCEYJOS	DMDI269	docetaxel	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMNO38U	bortezomib	.	.	Non Small Cell Lung Cancer	ClinicalTrials.gov	Phase 1	.					3
DC3JKQJ	DM4O2Z7	cyclophosphamide	Approved	34.0	DMG281S	carboplatin	Approved	34.0	DMLB81S	paclitaxel	.	.	Lung Cancer	ClinicalTrials.gov	Phase 2	.					3
