DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCXJ6ZK	DM3BH1Y	Lapatinib	Approved	34.0	DM8X2EH	Everolimus	Approved	34.0	DMH07Y3	Letrozole	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 2	.					3
DC39K68	DM3BH1Y	Lapatinib	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMF57DM	Pazopanib	.	.	Neoplasms, Breast	ClinicalTrials.gov	Phase 1	.					3
DCBG7QK	DM3BH1Y	Lapatinib	Approved	34.0	DM58WKG	Panobinostat	Approved	34.0	DMTS85L	Capecitabine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCKBNU3	DMSE3I7	Gemcitabine	Preclinical	2.1	DMDI269	Docetaxel	Approved	34.0	DMPDW6T	Epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCS5S8P	DMSE3I7	Gemcitabine	Preclinical	2.1	DMG281S	Carboplatin	Approved	34.0	DMWBZJD	GDC-0068	.	.	Triple Negative Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCSZAA6	DMDI269	Docetaxel	Approved	34.0	DMPDW6T	Epirubicin	Approved	34.0	DMY38SB	CATECHIN	.	.	Breast Cancer	ClinicalTrials.gov	Phase 4	.					3
DC11HNK	DMDI269	Docetaxel	Approved	34.0	DMPDW6T	Epirubicin	Approved	34.0	DMTS85L	Capecitabine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DC6DYV3	DMDI269	Docetaxel	Approved	34.0	DMF57DM	Pazopanib	Approved	34.0	DMG281S	Carboplatin	.	.	Neoplasms, Breast	ClinicalTrials.gov	Phase 1	.					3
DCSD3XA	DM4O2Z7	Cyclophosphamide	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMPDW6T	Epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCW552D	DM4O2Z7	Cyclophosphamide	Approved	34.0	DMIZKOP	Thiotepa	Approved	34.0	DMXZRW0	DTI-015	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCN7EZ7	DM4O2Z7	Cyclophosphamide	Approved	34.0	DMG281S	Carboplatin	Approved	34.0	DMIZKOP	Thiotepa	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCU9D0Y	DM4O2Z7	Cyclophosphamide	Approved	34.0	DMDI269	Docetaxel	Approved	34.0	DMPDW6T	Epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCDS5IT	DM4O2Z7	Cyclophosphamide	Approved	34.0	DM2TEOL	Methotrexate	Phase 1/2 Trial	19.0	DMTS85L	Capecitabine	.	.	Breast Cancer Female	ClinicalTrials.gov	Phase 1	.					3
DCHXAOZ	DM4O2Z7	Cyclophosphamide	Approved	34.0	DMLB81S	Paclitaxel	Approved	34.0	DMPDW6T	Epirubicin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCU90CT	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	Approved	34.0	DMVXFYE	Vinorelbine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCF5OEQ	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	Approved	34.0	DMVXFYE	Vinorelbine	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCIMZA7	DMH07Y3	Letrozole	Approved	34.0	DMIXC7G	Zoledronate	Approved	34.0	DMTK4LS	Triptorelin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC4RUW5	DM0YZC6	Fulvestrant	Approved	34.0	DM8X2EH	Everolimus	Approved	34.0	DM9HPW3	Exemestane	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DC94AA9	DM0YZC6	Fulvestrant	Approved	34.0	DM8X2EH	Everolimus	Approved	34.0	DM9HPW3	Exemestane	.	.	Advanced or Metastatic Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCDKVGD	DM0YZC6	Fulvestrant	Approved	34.0	DMBL3VD	PF-05212384	Phase 2	21.0	DMD7L94	Palbociclib	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCHLNDL	DM0YZC6	Fulvestrant	Approved	34.0	DM8X2EH	Everolimus	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DC9JUZ2	DM0YZC6	Fulvestrant	Approved	34.0	DM93VBZ	LY2835219	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCDAWVA	DM0YZC6	Fulvestrant	Approved	34.0	DMD7L94	Palbociclib	Approved	34.0	DMH07Y3	Letrozole	.	.	Metastatic Breast Carcinoma	ClinicalTrials.gov	Phase 2	.					3
DCJSKSZ	DM0YZC6	Fulvestrant	Approved	34.0	DM93VBZ	LY2835219	Approved	34.0	DMH07Y3	Letrozole	.	.	Breast Cancer Metastatic	ClinicalTrials.gov	Phase 2	.					3
DCV8UQ1	DM0YZC6	Fulvestrant	Approved	34.0	DMAT8CG	Goserelin	Approved	34.0	DMEXMYK	Alpelisib	.	.	Advanced Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCXNTQ2	DM0YZC6	Fulvestrant	Approved	34.0	DMEXMYK	Alpelisib	Approved	34.0	DMFRM1I	Canagliflozin	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DC1WHOV	DM0YZC6	Fulvestrant	Approved	34.0	DMEXMYK	Alpelisib	Approved	34.0	DMMX75K	LEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC24EA7	DM0YZC6	Fulvestrant	Approved	34.0	DMBESUA	Tucatinib	Approved	34.0	DMMX75K	LEE011	.	.	Anatomic Stage II Breast Cancer AJCC v8	ClinicalTrials.gov	Phase 1	.					3
DC2YQEC	DM0YZC6	Fulvestrant	Approved	34.0	DM1WEHC	Buparlisib	Phase 3	25.0	DMMX75K	LEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCMDIAN	DM0YZC6	Fulvestrant	Approved	34.0	DMBESUA	Tucatinib	Approved	34.0	DMEXMYK	Alpelisib	.	.	HER2-positive Metastatic Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DC1L2BB	DM8X2EH	Everolimus	Approved	34.0	DMAT8CG	Goserelin	Approved	34.0	DMH07Y3	Letrozole	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCHRH0E	DM8X2EH	Everolimus	Approved	34.0	DM93VBZ	LY2835219	Approved	34.0	DM9HPW3	Exemestane	.	.	Breast Neoplasms	ClinicalTrials.gov	Phase 1	.					3
DCKTQTO	DM8X2EH	Everolimus	Approved	34.0	DM9HPW3	Exemestane	Approved	34.0	DMMX75K	LEE011	.	.	Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCSB3HE	DM8WAHT	Fentanyl	Approved	34.0	DMB4OLE	Propofol	Investigative	0.0	DMXOELT	Midazolam	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DCEOJQ4	DMF57DM	Pazopanib	Approved	34.0	DM0HS92	Merimepodib	Approved	34.0	DM0HS92	Merimepodib	.	.	Inflammatory breast cancer	TTD Database	Phase 1	.					3
DC4262U	DM5XPIJ	Leuprolide	Approved	34.0	DM8X2EH	Everolimus	Approved	34.0	DMH07Y3	Letrozole	.	.	Metastatic Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCB32SG	DM5XPIJ	Leuprolide	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMIXC7G	Zoledronate	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCCPSYD	DM93VBZ	LY2835219	Approved	34.0	DMH07Y3	Letrozole	Approved	34.0	DMNP60F	Anastrozole	.	.	Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
DC24QBY	DM93VBZ	LY2835219	Approved	34.0	DMNP60F	Anastrozole	Approved	34.0	DMTEOOS	Loperamide	.	.	Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DC5BMCN	DM93VBZ	LY2835219	Approved	34.0	DMAQ469	Gonadorelin	Approved	34.0	DMH07Y3	Letrozole	.	.	Early Breast Cancer	ClinicalTrials.gov	Phase 2	.					3
DCL0TJ2	DM93VBZ	LY2835219	Approved	34.0	DM93VBZ	LY2835219	Approved	34.0	DM93VBZ	LY2835219	.	.	HR+/HER2- Breast Cancer	ClinicalTrials.gov	Phase 1	.					3
DCUAJZ7	DM1DX4Q	Eribulin	Approved	34.0	DMTS85L	Capecitabine	Approved	34.0	DMVXFYE	Vinorelbine	.	.	Advanced Breast Cancer	ClinicalTrials.gov	Phase 3	.					3
