DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA
DC4XUHV	DMUM7HZ	Fluorouracil	Approved	34	DM27D4J	PD-0325901	Phase 2	21	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	3.1	8.53	5.64	9.56
DC042HW	DMUM7HZ	Fluorouracil	Approved	34	DM3BH1Y	Lapatinib	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.16	10.38	9.43	11.39
DCSYKKN	DMUM7HZ	Fluorouracil	Approved	34	DM5TVS3	Vinblastine	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	13.57	15.29	10.03	17.14
DCOPX9G	DMUM7HZ	Fluorouracil	Approved	34	DM62QTW	RTB101	Phase 3	25	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	9.48	13.82	6.03	17.12
DC9MNFP	DMUM7HZ	Fluorouracil	Approved	34	DM67EMK	SCH-900776	Phase 2	21	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	2.57	2.77	0.55	3.6
DCJ1G8L	DMUM7HZ	Fluorouracil	Approved	34	DM9WLN4	10-hydroxycamptothecin	Investigative	0	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	4.79	11.23	2.49	13.31
DCDBYUC	DMUM7HZ	Fluorouracil	Approved	34	DMCJLD1	SCH 727965	Discontinued in Phase 3	9	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	3.04	4.95	1.64	7.92
DC0PXP4	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Adenocarcinoma	DrugCombDB Database	Investigative	DLD1	0	4.31	2.93	8.54
DC6GJ5O	DMUM7HZ	Fluorouracil	Approved	34	DMCMBHA	Erlotinib	Approved	34	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	1.1	6.14	11.04	6.05
DCH1B10	DMUM7HZ	Fluorouracil	Approved	34	DMLYGH4	MK-4827	Phase 3	25	.	.	.	.	Ewing sarcoma-peripheral primitive neuroectodermal tumour	DrugCombDB Database	Investigative	ES2	6.31	14.82	18.23	19.36
