model,fold,outer_AUROC,inner_AUROC,clf__C,clf__penalty,clf__max_depth,clf__min_samples_leaf,clf__n_estimators,clf__gamma,clf__kernel,n_estimators,max_depth,learning_rate,subsample
Logistic Regression,0,0.56,0.8087499999999999,1.0,l2,,,,,,,,,
Logistic Regression,1,0.7200000000000001,0.714375,1.0,l2,,,,,,,,,
Logistic Regression,2,0.7200000000000002,0.7366666666666667,0.1,l2,,,,,,,,,
Logistic Regression,3,0.8400000000000001,0.7214583333333332,0.01,l2,,,,,,,,,
Logistic Regression,4,0.76,0.6541666666666667,0.01,l2,,,,,,,,,
Random Forest,0,0.5599999999999999,0.8887499999999999,,,4.0,1.0,200.0,,,,,,
Random Forest,1,0.6800000000000002,0.8391666666666667,,,4.0,1.0,200.0,,,,,,
Random Forest,2,0.8,0.841875,,,4.0,1.0,100.0,,,,,,
Random Forest,3,0.8,0.8418749999999999,,,4.0,1.0,100.0,,,,,,
Random Forest,4,0.76,0.8702083333333333,,,4.0,1.0,200.0,,,,,,
SVM,0,0.44000000000000006,0.883125,5.0,,,,,scale,rbf,,,,
SVM,1,0.8,0.8312499999999999,5.0,,,,,scale,rbf,,,,
SVM,2,0.88,0.8272916666666665,5.0,,,,,scale,rbf,,,,
SVM,3,0.8,0.8333333333333334,5.0,,,,,auto,rbf,,,,
SVM,4,0.9600000000000001,0.8235416666666667,5.0,,,,,scale,rbf,,,,
XGBoost,0,0.64,0.960625,,,,,,,,200.0,3.0,0.2,0.8
XGBoost,1,0.7200000000000002,0.9197916666666667,,,,,,,,200.0,2.0,0.2,0.8
XGBoost,2,0.88,0.928125,,,,,,,,200.0,3.0,0.2,0.8
XGBoost,3,0.8,0.9187499999999998,,,,,,,,200.0,3.0,0.2,0.8
XGBoost,4,0.76,0.955,,,,,,,,200.0,2.0,0.1,1.0
