model,fold,inner_auroc,C,penalty,max_depth,min_samples_leaf,n_estimators,gamma,kernel,learning_rate,subsample
Logistic Regression,0,0.566875,0.01,l2,,,,,,,
Logistic Regression,1,0.6941666666666667,0.01,l2,,,,,,,
Logistic Regression,2,0.7468749999999998,5.0,l2,,,,,,,
Logistic Regression,3,0.6858333333333334,0.01,l2,,,,,,,
Logistic Regression,4,0.6395833333333333,0.01,l2,,,,,,,
Random Forest,0,0.9856250000000001,,,4.0,1.0,200.0,,,,
Random Forest,1,0.9920833333333334,,,4.0,1.0,200.0,,,,
Random Forest,2,0.9991666666666666,,,4.0,1.0,200.0,,,,
Random Forest,3,0.9995833333333333,,,4.0,1.0,200.0,,,,
Random Forest,4,0.995625,,,4.0,1.0,100.0,,,,
SVM,0,0.8997916666666667,0.01,,,,,auto,rbf,,
SVM,1,0.8297916666666666,0.01,,,,,auto,rbf,,
SVM,2,0.8708333333333332,0.01,,,,,auto,rbf,,
SVM,3,0.9433333333333334,1.0,,,,,auto,rbf,,
SVM,4,0.8864583333333332,5.0,,,,,auto,rbf,,
XGBoost,0,1.0,,,2.0,,50.0,,,0.1,1.0
XGBoost,1,1.0,,,2.0,,50.0,,,0.1,1.0
XGBoost,2,1.0,,,2.0,,50.0,,,0.1,0.8
XGBoost,3,1.0,,,2.0,,50.0,,,0.1,0.8
XGBoost,4,1.0,,,2.0,,50.0,,,0.2,1.0
