model,fold,inner_auroc,C,l1_ratio,gamma,alpha,var_smoothing,metric,class_weight,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample,penalty,solver,degree,kernel
LR-L1,0,0.6349,1.0,,,,,,,,,,,,,,,,,,
LR-L1,1,0.6939,1.0,,,,,,,,,,,,,,,,,,
LR-L1,2,0.6882,1.0,,,,,,,,,,,,,,,,,,
LR-L1,3,0.6497,1.0,,,,,,,,,,,,,,,,,,
LR-L1,4,0.7007,1.0,,,,,,,,,,,,,,,,,,
LR-L2,0,0.5363,0.1,,,,,,,,,,,,,,,,,,
LR-L2,1,0.6406,1.0,,,,,,,,,,,,,,,,,,
LR-L2,2,0.6769,1.0,,,,,,,,,,,,,,,,,,
LR-L2,3,0.6395,0.01,,,,,,,,,,,,,,,,,,
LR-L2,4,0.7245,0.01,,,,,,,,,,,,,,,,,,
LR-ElasticNet,0,0.5873,0.1,0.5,,,,,,,,,,,,,,,,,
LR-ElasticNet,1,0.6259,0.1,0.1,,,,,,,,,,,,,,,,,
LR-ElasticNet,2,0.7154,0.1,0.1,,,,,,,,,,,,,,,,,
LR-ElasticNet,3,0.6542,0.1,0.1,,,,,,,,,,,,,,,,,
LR-ElasticNet,4,0.7018,0.1,0.1,,,,,,,,,,,,,,,,,
SVM-Linear,0,0.542,0.01,,,,,,,,,,,,,,,,,,
SVM-Linear,1,0.6474,0.1,,,,,,,,,,,,,,,,,,
SVM-Linear,2,0.7404,0.1,,,,,,,,,,,,,,,,,,
SVM-Linear,3,0.6395,0.01,,,,,,,,,,,,,,,,,,
SVM-Linear,4,0.6803,0.0001,,,,,,,,,,,,,,,,,,
SVM-RBF,0,0.6247,1.0,,scale,,,,,,,,,,,,,,,,
SVM-RBF,1,0.6905,1.0,,scale,,,,,,,,,,,,,,,,
SVM-RBF,2,0.7687,0.001,,scale,,,,,,,,,,,,,,,,
SVM-RBF,3,0.6848,1.0,,scale,,,,,,,,,,,,,,,,
SVM-RBF,4,0.7562,1.0,,scale,,,,,,,,,,,,,,,,
Ridge Classifier,0,0.5363,,,,100.0,,,,,,,,,,,,,,,
Ridge Classifier,1,0.6893,,,,0.1,,,,,,,,,,,,,,,
Ridge Classifier,2,0.661,,,,10.0,,,,,,,,,,,,,,,
Ridge Classifier,3,0.6383,,,,1000.0,,,,,,,,,,,,,,,
Ridge Classifier,4,0.7166,,,,1000.0,,,,,,,,,,,,,,,
Naive Bayes,0,0.3872,,,,,1e-05,,,,,,,,,,,,,,
Naive Bayes,1,0.5125,,,,,1e-09,,,,,,,,,,,,,,
Naive Bayes,2,0.6604,,,,,0.001,,,,,,,,,,,,,,
Naive Bayes,3,0.5272,,,,,0.001,,,,,,,,,,,,,,
Naive Bayes,4,0.6315,,,,,0.001,,,,,,,,,,,,,,
Nearest Centroid,0,0.0,,,,,,euclidean,,,,,,,,,,,,,
Nearest Centroid,1,0.0,,,,,,euclidean,,,,,,,,,,,,,
Nearest Centroid,2,0.0,,,,,,euclidean,,,,,,,,,,,,,
Nearest Centroid,3,0.0,,,,,,euclidean,,,,,,,,,,,,,
Nearest Centroid,4,0.0,,,,,,euclidean,,,,,,,,,,,,,
Random Forest,0,0.729,,,,,,,balanced_subsample,10.0,2.0,2.0,200.0,,,,,,,,
Random Forest,1,0.6689,,,,,,,balanced,10.0,1.0,5.0,50.0,,,,,,,,
Random Forest,2,0.6995,,,,,,,balanced,10.0,1.0,2.0,50.0,,,,,,,,
Random Forest,3,0.6712,,,,,,,balanced_subsample,10.0,1.0,2.0,100.0,,,,,,,,
Random Forest,4,0.788,,,,,,,balanced_subsample,10.0,1.0,2.0,200.0,,,,,,,,
XGBoost,0,0.7438,,,,,,,,3.0,,,50.0,0.7,0.3,2.0,0.7,,,,
XGBoost,1,0.6905,,,,,,,,3.0,,,50.0,0.7,0.3,4.0,1.0,,,,
XGBoost,2,0.6066,,,,,,,,3.0,,,50.0,0.7,0.3,4.0,0.7,,,,
XGBoost,3,0.6406,,,,,,,,6.0,,,100.0,0.8,0.1,4.0,0.7,,,,
XGBoost,4,0.7324,,,,,,,,3.0,,,50.0,1.0,0.01,1.0,0.8,,,,
Logistic Regression,0,0.5624,10.0,,,,,,,,,,,,,,,l2,sag,,
Logistic Regression,1,0.6769,10.0,,,,,,,,,,,,,,,l2,lbfgs,,
Logistic Regression,2,0.6927,10.0,,,,,,,,,,,,,,,l2,lbfgs,,
Logistic Regression,3,0.6395,0.01,,,,,,,,,,,,,,,l2,lbfgs,,
Logistic Regression,4,0.7245,0.01,,,,,,,,,,,,,,,l2,lbfgs,,
SVM,0,0.7052,10.0,,scale,,,,,,,,,,,,,,,4.0,poly
SVM,1,0.7392,10.0,,scale,,,,,,,,,,,,,,,2.0,rbf
SVM,2,0.7528,0.01,,scale,,,,,,,,,,,,,,,2.0,rbf
SVM,3,0.8515,10.0,,auto,,,,,,,,,,,,,,,4.0,poly
SVM,4,0.8288,10.0,,scale,,,,,,,,,,,,,,,2.0,poly
