model,AUROC,AUROC_std,AUPRC,AUPRC_std,F1,F1_std,Precision,Recall
LR-L1,0.616,0.0999,0.651,0.1028,0.5798,0.1613,0.681,0.6
LR-L2,0.616,0.048,0.6653,0.0832,0.6268,0.1722,0.65,0.64
LR-ElasticNet,0.6,0.062,0.661,0.1005,0.6409,0.1563,0.781,0.64
SVM-Linear,0.472,0.1324,0.5866,0.0694,0.6609,0.0963,0.72,0.64
SVM-RBF,0.516,0.1685,0.6231,0.1427,0.5533,0.1258,0.7533,0.48
Ridge Classifier,0.632,0.0299,0.7165,0.041,0.6333,0.0941,0.65,0.64
Naive Bayes,0.616,0.1405,0.6025,0.0964,0.6812,0.0838,0.6219,0.76
Nearest Centroid,0.368,0.0926,0.5574,0.0667,0.5835,0.1571,0.6619,0.6
Random Forest,0.672,0.1055,0.7431,0.1004,0.5767,0.0557,0.6676,0.56
XGBoost,0.584,0.0742,0.6513,0.0959,0.6419,0.0492,0.6233,0.68
Logistic Regression,0.616,0.0408,0.6688,0.0887,0.6586,0.1096,0.65,0.68
SVM,0.54,0.1265,0.6223,0.1262,0.5624,0.1232,0.6343,0.64
