model,fold,C,l1_ratio,gamma,alpha,var_smoothing,class_weight,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample,penalty,solver,degree,kernel
LR-L1,0,1.0,,,,,,,,,,,,,,,,,
LR-L1,1,1.0,,,,,,,,,,,,,,,,,
LR-L1,2,1.0,,,,,,,,,,,,,,,,,
LR-L1,3,1.0,,,,,,,,,,,,,,,,,
LR-L1,4,1.0,,,,,,,,,,,,,,,,,
LR-L2,0,0.1,,,,,,,,,,,,,,,,,
LR-L2,1,0.01,,,,,,,,,,,,,,,,,
LR-L2,2,0.1,,,,,,,,,,,,,,,,,
LR-L2,3,0.01,,,,,,,,,,,,,,,,,
LR-L2,4,0.1,,,,,,,,,,,,,,,,,
LR-ElasticNet,0,0.1,0.1,,,,,,,,,,,,,,,,
LR-ElasticNet,1,0.1,0.1,,,,,,,,,,,,,,,,
LR-ElasticNet,2,0.1,0.1,,,,,,,,,,,,,,,,
LR-ElasticNet,3,0.1,0.5,,,,,,,,,,,,,,,,
LR-ElasticNet,4,0.1,0.1,,,,,,,,,,,,,,,,
SVM-Linear,0,0.01,,,,,,,,,,,,,,,,,
SVM-Linear,1,0.01,,,,,,,,,,,,,,,,,
SVM-Linear,2,0.01,,,,,,,,,,,,,,,,,
SVM-Linear,3,0.1,,,,,,,,,,,,,,,,,
SVM-Linear,4,0.01,,,,,,,,,,,,,,,,,
SVM-RBF,0,1.0,,auto,,,,,,,,,,,,,,,
SVM-RBF,1,1.0,,auto,,,,,,,,,,,,,,,
SVM-RBF,2,1.0,,scale,,,,,,,,,,,,,,,
SVM-RBF,3,1.0,,scale,,,,,,,,,,,,,,,
SVM-RBF,4,1.0,,auto,,,,,,,,,,,,,,,
Ridge Classifier,0,,,,100.0,,,,,,,,,,,,,,
Ridge Classifier,1,,,,1000.0,,,,,,,,,,,,,,
Ridge Classifier,2,,,,0.1,,,,,,,,,,,,,,
Ridge Classifier,3,,,,1000.0,,,,,,,,,,,,,,
Ridge Classifier,4,,,,100.0,,,,,,,,,,,,,,
Naive Bayes,0,,,,,0.001,,,,,,,,,,,,,
Naive Bayes,1,,,,,1e-05,,,,,,,,,,,,,
Naive Bayes,2,,,,,1e-09,,,,,,,,,,,,,
Naive Bayes,3,,,,,1e-07,,,,,,,,,,,,,
Naive Bayes,4,,,,,1e-09,,,,,,,,,,,,,
Random Forest,0,,,,,,balanced_subsample,20.0,1.0,2.0,50.0,,,,,,,,
Random Forest,1,,,,,,balanced_subsample,20.0,1.0,5.0,100.0,,,,,,,,
Random Forest,2,,,,,,balanced,10.0,1.0,2.0,100.0,,,,,,,,
Random Forest,3,,,,,,balanced,10.0,1.0,2.0,100.0,,,,,,,,
Random Forest,4,,,,,,balanced,10.0,1.0,5.0,50.0,,,,,,,,
XGBoost,0,,,,,,,3.0,,,50.0,0.8,0.3,2.0,0.7,,,,
XGBoost,1,,,,,,,6.0,,,50.0,0.8,0.3,4.0,0.7,,,,
XGBoost,2,,,,,,,9.0,,,100.0,0.8,0.3,1.0,0.7,,,,
XGBoost,3,,,,,,,6.0,,,100.0,0.7,0.1,4.0,0.8,,,,
XGBoost,4,,,,,,,9.0,,,200.0,0.8,0.1,4.0,1.0,,,,
Logistic Regression,0,0.1,,,,,,,,,,,,,,l2,lbfgs,,
Logistic Regression,1,0.01,,,,,,,,,,,,,,l2,lbfgs,,
Logistic Regression,2,0.1,,,,,,,,,,,,,,l2,sag,,
Logistic Regression,3,0.01,,,,,,,,,,,,,,l2,lbfgs,,
Logistic Regression,4,0.1,,,,,,,,,,,,,,l2,lbfgs,,
SVM,0,1.0,,auto,,,,,,,,,,,,,,2.0,rbf
SVM,1,0.1,,auto,,,,,,,,,,,,,,3.0,poly
SVM,2,1.0,,scale,,,,,,,,,,,,,,3.0,poly
SVM,3,100.0,,scale,,,,,,,,,,,,,,2.0,rbf
SVM,4,1.0,,auto,,,,,,,,,,,,,,2.0,poly
