model,fold,AUROC,AUPRC,F1,Precision,Recall
LR-L1,0,0.8400000000000001,0.885,0.6666666666666665,0.75,0.6
LR-L1,1,0.27999999999999997,0.42682539682539683,0.4000000000000001,0.4,0.4
LR-L1,2,0.6799999999999999,0.7833333333333332,0.33333333333333337,1.0,0.2
LR-L1,3,0.56,0.5976190476190476,0.6666666666666665,0.75,0.6
LR-L1,4,0.52,0.5311111111111111,0.7272727272727272,0.6666666666666666,0.8
LR-L2,0,0.8,0.8583333333333332,0.6,0.6,0.6
LR-L2,1,0.6799999999999999,0.7753968253968253,0.5454545454545454,0.5,0.6
LR-L2,2,0.4800000000000001,0.5476190476190476,0.0,0.0,0.0
LR-L2,3,0.6,0.6166666666666666,0.6666666666666665,0.75,0.6
LR-L2,4,0.68,0.7277777777777779,0.7272727272727272,0.6666666666666666,0.8
LR-ElasticNet,0,0.8400000000000001,0.885,0.6666666666666665,0.75,0.6
LR-ElasticNet,1,0.27999999999999997,0.4301587301587302,0.6153846153846154,0.5,0.8
LR-ElasticNet,2,0.6000000000000001,0.75,0.33333333333333337,1.0,0.2
LR-ElasticNet,3,0.56,0.6833333333333333,0.6666666666666665,0.75,0.6
LR-ElasticNet,4,0.6000000000000001,0.6644444444444444,0.7272727272727272,0.6666666666666666,0.8
SVM-Linear,0,0.8800000000000001,0.8766666666666667,0.6666666666666665,0.75,0.6
SVM-Linear,1,0.6,0.6087301587301587,0.5454545454545454,0.5,0.6
SVM-Linear,2,0.56,0.5976190476190476,0.28571428571428575,0.5,0.2
SVM-Linear,3,0.52,0.6722222222222223,0.6,0.6,0.6
SVM-Linear,4,0.6,0.6166666666666666,0.7272727272727272,0.6666666666666666,0.8
SVM-RBF,0,0.8400000000000001,0.8528571428571428,0.6666666666666665,0.75,0.6
SVM-RBF,1,1.0,1.0,0.8333333333333333,0.7142857142857143,1.0
SVM-RBF,2,0.6,0.6944444444444444,0.7142857142857143,0.5555555555555556,1.0
SVM-RBF,3,0.88,0.9028571428571428,0.8000000000000002,0.8,0.8
SVM-RBF,4,0.76,0.8083333333333333,0.7272727272727272,0.6666666666666666,0.8
Ridge Classifier,0,0.8400000000000001,0.8528571428571428,0.6666666666666665,0.75,0.6
Ridge Classifier,1,0.8,0.8583333333333332,0.6,0.6,0.6
Ridge Classifier,2,0.36,0.48571428571428565,0.25,0.3333333333333333,0.2
Ridge Classifier,3,0.6400000000000001,0.6433333333333333,0.6666666666666665,0.75,0.6
Ridge Classifier,4,0.7200000000000001,0.7544444444444445,0.7272727272727272,0.6666666666666666,0.8
Naive Bayes,0,0.8200000000000001,0.71,0.28571428571428575,0.5,0.2
Naive Bayes,1,0.64,0.7166666666666666,0.6,0.6,0.6
Naive Bayes,2,0.48,0.62,0.28571428571428575,0.5,0.2
Naive Bayes,3,0.62,0.6166666666666666,0.28571428571428575,0.5,0.2
Naive Bayes,4,0.7200000000000001,0.7544444444444445,0.33333333333333337,1.0,0.2
Random Forest,0,0.92,0.9428571428571428,0.7499999999999999,1.0,0.6
Random Forest,1,1.0,1.0,0.9090909090909091,0.8333333333333334,1.0
Random Forest,2,0.92,0.9266666666666665,0.33333333333333337,1.0,0.2
Random Forest,3,0.76,0.7595238095238095,0.6666666666666665,0.75,0.6
Random Forest,4,0.8400000000000001,0.911111111111111,0.8000000000000002,0.8,0.8
XGBoost,0,0.64,0.6977777777777777,0.6,0.6,0.6
XGBoost,1,0.64,0.7611111111111111,0.5454545454545454,0.5,0.6
XGBoost,2,0.76,0.7683333333333333,0.6666666666666665,0.75,0.6
XGBoost,3,0.72,0.8333333333333333,0.6666666666666666,0.5714285714285714,0.8
XGBoost,4,0.76,0.8444444444444443,0.6,0.6,0.6
Logistic Regression,0,0.8,0.8583333333333332,0.6,0.6,0.6
Logistic Regression,1,0.6799999999999999,0.7753968253968253,0.5454545454545454,0.5,0.6
Logistic Regression,2,0.4800000000000001,0.5476190476190476,0.0,0.0,0.0
Logistic Regression,3,0.6,0.6166666666666666,0.6666666666666665,0.75,0.6
Logistic Regression,4,0.68,0.7277777777777779,0.7272727272727272,0.6666666666666666,0.8
SVM,0,0.8400000000000001,0.8528571428571428,0.6666666666666665,0.75,0.6
SVM,1,0.92,0.9428571428571428,0.0,0.0,0.0
SVM,2,0.48,0.5533333333333333,0.28571428571428575,0.5,0.2
SVM,3,0.92,0.9266666666666665,0.8000000000000002,0.8,0.8
SVM,4,0.76,0.8211111111111111,0.8000000000000002,0.8,0.8
