DrugCom_ID	DrugID_1	Drug_Name_1	Highest_status_1	order_1	DrugID_2	Drug_Name_2	Highest_status_2	order_2	DrugID_3	Drug_Name_3	DrugID_4	Drug_Name_4	Disease_Entry	Source	Highest_status	Cell Line	ZIP	Bliss	Loewe	HSA	n_drugs
DCI8H2E	DMUM7HZ	Fluorouracil	Approved	34.0	DM5TVS3	Vinblastine	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	5.7	7.07	5.15	10.37	2
DCC1IC6	DMUM7HZ	Fluorouracil	Approved	34.0	DM62QTW	RTB101	Phase 3	25.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	0.61	0.64	1.54	5.9	2
DC942A5	DMUM7HZ	Fluorouracil	Approved	34.0	DMSE3I7	Gemcitabine	Preclinical	2.1	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	10.1	7.04	0.39	10.04	2
DCRGG7P	DMUM7HZ	Fluorouracil	Approved	34.0	DM9WLN4	10-hydroxycamptothecin	Investigative	0.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	0.1	4.95	7.34	9.59	2
DC6V07Q	DMUM7HZ	Fluorouracil	Approved	34.0	DMNO38U	Bortezomib	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	7.94	8.45	6.96	10.92	2
DCMUSHW	DMUM7HZ	Fluorouracil	Approved	34.0	DMS8IFC	Sorafenib	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	9.77	10.18	4.28	13.55	2
DCNZOVJ	DMUM7HZ	Fluorouracil	Approved	34.0	DMUOT9V	Taxol	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	5.41	4.82	4.15	9.24	2
DCTWB80	DMUM7HZ	Fluorouracil	Approved	34.0	DMVXFYE	Vinorelbine	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	1.94	2.4	0.06	5.37	2
DC1N0E8	DMUM7HZ	Fluorouracil	Approved	34.0	DMWMPD4	Vorinostat	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	10.75	9	6.77	11.92	2
DCFXDKP	DM27D4J	PD-0325901	Phase 2	21.0	DM27D4J	PD-0325901	Phase 2	21.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	0.07	5.59	8.13	9.01	2
DC65KUW	DM27D4J	PD-0325901	Phase 2	21.0	DM3WDZ5	MK-1775	Phase 2	21.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	14.39	20.67	7.66	23.48	2
DCEPD3N	DM27D4J	PD-0325901	Phase 2	21.0	DM62QTW	RTB101	Phase 3	25.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	10.52	10.66	9.81	13.76	2
DCRM7NJ	DM27D4J	PD-0325901	Phase 2	21.0	DM67EMK	SCH-900776	Phase 2	21.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	13.31	12.39	11.23	14.62	2
DCPE1GD	DM27D4J	PD-0325901	Phase 2	21.0	DM9WLN4	10-hydroxycamptothecin	Investigative	0.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	1.31	2.51	3.19	5.57	2
DC1JPAP	DM27D4J	PD-0325901	Phase 2	21.0	DMB5A80	SNX-2112	Investigative	0.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	3.86	3.43	0.14	4.65	2
DCYS8IE	DM27D4J	PD-0325901	Phase 2	21.0	DMLYGH4	MK-4827	Phase 3	25.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	0.1	6.49	8.35	8.46	2
DCX8LC8	DM27D4J	PD-0325901	Phase 2	21.0	DMNO38U	Bortezomib	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	5.13	5.88	3.88	7.83	2
DCM1QFD	DM27D4J	PD-0325901	Phase 2	21.0	DMS8IFC	Sorafenib	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	4.52	8.55	1.41	10.59	2
DCI0R4X	DM27D4J	PD-0325901	Phase 2	21.0	DMT1OZ6	MK-2206	Phase 2	21.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	0.18	2.33	3.5	5.42	2
DCBTV1O	DM27D4J	PD-0325901	Phase 2	21.0	DMWMPD4	Vorinostat	Approved	34.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	5.38	4.75	4.65	7.93	2
DCFZES4	DM27D4J	PD-0325901	Phase 2	21.0	DMJV2EK	Dasatinib	Investigative	0.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	7.93	14.19	7.36	16.43	2
DC87MA5	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	DM0YZC6	Fulvestrant	Approved	34.0	.	.	.	.	Minimally invasive lung adenocarcinoma	SYNERGxDB Database	Investigative	NCI-H322M	0.05	1.73	1.53	1.33	2
DCXS5HM	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	DM2OZ3G	Ixabepilone	Approved	34.0	.	.	.	.	Lung adenocarcinoma 	SYNERGxDB Database	Investigative	NCI-H522	6.47	5.82	1.09	5.63	2
DCMSP5A	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	DM2YGNW	Dactinomycin	Approved	34.0	.	.	.	.	Lung adenocarcinoma	SYNERGxDB Database	Investigative	MDA-MB-231	7.25	13.28	2.31	7.16	2
DC3ZEIN	DM4DOUB	PMID28460551-Compound-2	Patented	15.5	DM3WDZ5	MK-1775	Phase 2	21.0	.	.	.	.	Large cell lung carcinoma	SYNERGxDB Database	Investigative	NCI-H460	4.95	6.05	5	11.28	2
