,alpelisib,anastrozole,canagliflozin,capecitabine,degarelix,docetaxel,entrectinib,epirubicin,eribulin,everolimus,exemestane,fentanyl,fulvestrant,gemcitabine,goserelin,hydroxychloroquine,lY2835219,lapatinib,letrozole,midazolam,pF-03084014,paclitaxel,palbociclib,panobinostat,propofol,tucatinib,vinorelbine
alpelisib,0.0,0.07119240068646004,0.05846234494286968,0.06794903135962758,0.03666528805980647,0.04806582677243685,0.029244777496885133,0.06224675037835247,0.04289772631036566,0.03963591614277325,0.05024092980147295,0.04132223123807475,0.15233223033917562,0.04504354866167997,0.08091609352067712,0.023492195651751816,0.03696312342855155,0.04243968697116937,0.06971071825862817,0.047409187759814266,0.02060611870610586,0.03922051237638713,0.031088221413904014,0.03963768168753156,0.05308693712042766,0.32465234305559953,0.04410288632258386
anastrozole,0.07119240068646004,0.0,0.051273729829998047,0.09603027365825823,0.29980471333892966,0.07489012486972366,0.06189719824181585,0.08908725643155274,0.07513455192629405,0.0910173801120323,0.25334567320843976,0.06810629708624676,0.178173494900804,0.07183475190596848,0.16043326958057494,0.05195014241405548,0.1325817644989436,0.07219841431682764,0.356976265573025,0.07419325360798636,0.047390184554278784,0.06607525597626453,0.09237295826565564,0.06666823495479984,0.07987100296859968,0.0664889313867913,0.13527234488104373
canagliflozin,0.05846234494286968,0.051273729829998047,0.0,0.050458976596857746,0.01908801138069459,0.030577593726283093,0.01110183979116947,0.04475849104987738,0.025406174355052675,0.020993372233115575,0.030865913852968475,0.023834047918073774,0.06689413557976645,0.027555357441729114,0.02489486598301484,0.005989784485320887,0.018771512594154063,0.024913827623928016,0.049490686213345104,0.0299210044398134,0.003117935386105561,0.021732250827473685,0.01284810291936358,0.022147393466151653,0.03559875380042677,0.021929156363934978,0.02656664630158006
capecitabine,0.06794903135962758,0.09603027365825823,0.050458976596857746,0.0,0.06333862872319594,0.1931270582029393,0.0553351655786346,0.26884058137779193,0.2553168275682352,0.0669304732447159,0.07446477320442431,0.06805668819577376,0.07989490038956619,0.09072513578141911,0.06858357596543271,0.05021657180680623,0.06277567607239003,0.18398019844533267,0.09498191729658265,0.07414364471751303,0.047340575663803994,0.2535780939527083,0.05694899412898847,0.25186207628943824,0.07982139407812645,0.0642548995229163,0.16292251061117413
degarelix,0.03666528805980647,0.29980471333892966,0.01908801138069459,0.06333862872319594,0.0,0.043415372878207945,0.024040708157477435,0.057596947315115415,0.038332210369271244,0.03559941089745045,0.05078290389189245,0.03667090853767492,0.054314501062610675,0.040392335725661636,0.04053928475237758,0.018853849984492074,0.12299256921398563,0.03783008310508933,0.07773374529589279,0.042757865059413994,0.015954796005707487,0.03457027661296199,0.026542356669996776,0.03498880995634703,0.048435614420027494,0.032911247055686585,0.04120878037393877
docetaxel,0.04806582677243685,0.07489012486972366,0.030577593726283093,0.1931270582029393,0.043415372878207945,0.0,0.03543380938196786,0.32525083385455206,0.05373322956229336,0.04501233699182771,0.054450244044669555,0.04817576087905253,0.05992353670835397,0.28190852159335716,0.048628752812807374,0.030329606168602,0.04283916004869498,0.051986746888401415,0.07312624250912485,0.054262717400792713,0.027459648347084337,0.05991810105800904,0.03704273219674269,0.05047039463041401,0.05994046676140603,0.04437267141172116,0.05325264153060551
entrectinib,0.029244777496885133,0.06189719824181585,0.01110183979116947,0.0553351655786346,0.024040708157477435,0.03543380938196786,0.0,0.049615029687270454,0.030288681732649002,0.026552474616836727,0.03718625054881894,0.028689825435651028,0.042967757336790216,0.03241119108495974,0.11614202070127563,0.010964579699444916,0.023932625727848284,0.03005792389365847,0.13398388474982748,0.03477678195738932,0.007973712903680793,0.026588584126877864,0.018718553822727354,0.027016203639802474,0.0404545313180035,0.02493561847996782,0.03195949983531697
epirubicin,0.06224675037835247,0.08908725643155274,0.04475849104987738,0.26884058137779193,0.057596947315115415,0.32525083385455206,0.049615029687270454,0.0,0.07085237024435095,0.05922118211740775,0.06863296732468263,0.06235665083604342,0.07410561609801425,0.3670898865075172,0.06281067702394054,0.04451059376918995,0.057020822597940245,0.06788951919380339,0.08733221891344103,0.06844360735778256,0.04164053830407426,0.25872868927384807,0.05122399649775757,0.0675864318999376,0.074121356718396,0.05855358240340589,0.06876025198955299
eribulin,0.04289772631036566,0.07513455192629405,0.025406174355052675,0.2553168275682352,0.038332210369271244,0.05373322956229336,0.030288681732649002,0.07085237024435095,0.0,0.03993493555432142,0.04957084332189021,0.04300383463537658,0.054947481071259005,0.04723573291374234,0.04362082413179563,0.025165644605160978,0.037759721543437756,0.04796387645602826,0.07336720992793345,0.04909079115711618,0.0222877221034079,0.045958120272594806,0.03192591678043898,0.0463163390199746,0.05476854051772961,0.03920219848709583,0.3352601669657888
everolimus,0.03963591614277325,0.0910173801120323,0.020993372233115575,0.0669304732447159,0.03559941089745045,0.04501233699182771,0.026552474616836727,0.05922118211740775,0.03993493555432142,0.0,0.119970386170916,0.03820877755538904,0.11350666010892757,0.04194017767471205,0.06684160414011076,0.020527788760520017,0.0877378692050943,0.13493465272363322,0.10506726256080536,0.04429573407712808,0.017492665023420877,0.036206902145395924,0.028320305017291308,0.04206097750363655,0.049973483437741696,0.035486787235590525,0.041709416443395674
exemestane,0.05024092980147295,0.25334567320843976,0.030865913852968475,0.07446477320442431,0.05078290389189245,0.054450244044669555,0.03718625054881894,0.06863296732468263,0.04957084332189021,0.119970386170916,0.0,0.04770277183094664,0.18649422756036,0.05142474190802327,0.05676295578384963,0.030515982676532914,0.07481902348619607,0.05159105674367738,0.24349961047860955,0.053789728352686035,0.026986659298978578,0.045607515841601456,0.0402575910407137,0.04618230982832149,0.05946747771329952,0.04602867460738934,0.05424944439959642
fentanyl,0.04132223123807475,0.06810629708624676,0.023834047918073774,0.06805668819577376,0.03667090853767492,0.04817576087905253,0.028689825435651028,0.06235665083604342,0.04300383463537658,0.03820877755538904,0.04770277183094664,0.0,0.053177177782496615,0.045153533307480946,0.0418831019662266,0.02358593789589987,0.036094016480258825,0.04250395852243704,0.06631833873110918,0.22046035805627467,0.020716112531972627,0.03933041529701267,0.030298532005404097,0.03974520961145867,0.35672634271100206,0.037629107062176884,0.04415447599543088
fulvestrant,0.15233223033917562,0.178173494900804,0.06689413557976645,0.07989490038956619,0.054314501062610675,0.05992353670835397,0.042967757336790216,0.07410561609801425,0.054947481071259005,0.11350666010892757,0.18649422756036,0.053177177782496615,0.0,0.056898979173582144,0.10359026387442334,0.03610641198622686,0.09642869170880158,0.056526917383922376,0.17090729013951925,0.05926413430423626,0.032461065250527735,0.051080251387536045,0.07599637273027819,0.051629521857377576,0.06494188366484961,0.13681266920508314,0.05828597099087632
gemcitabine,0.04504354866167997,0.07183475190596848,0.027555357441729114,0.09072513578141911,0.040392335725661636,0.28190852159335716,0.03241119108495974,0.3670898865075172,0.04723573291374234,0.04194017767471205,0.05142474190802327,0.045153533307480946,0.056898979173582144,0.0,0.045604758556457,0.02730726310730258,0.03981559152757813,0.046620028445483415,0.07005119075863249,0.05124048982922041,0.024437420775512777,0.053333663017022734,0.03401994237715092,0.04397656859904913,0.05691823918983383,0.0413504189609831,0.04823773897054744
goserelin,0.08091609352067712,0.16043326958057494,0.02489486598301484,0.06858357596543271,0.04053928475237758,0.048628752812807374,0.11614202070127563,0.06281067702394054,0.04362082413179563,0.06684160414011076,0.05676295578384963,0.0418831019662266,0.10359026387442334,0.045604758556457,0.0,0.024834972102011788,0.03952002592672759,0.044344024223634246,0.193439171033472,0.04797005848796613,0.021166989434254234,0.03978474168714984,0.07083887830404498,0.040276828443352314,0.05364780784857928,0.04164044225625287,0.04683051487397883
hydroxychloroquine,0.023492195651751816,0.05195014241405548,0.005989784485320887,0.05021657180680623,0.018853849984492074,0.030329606168602,0.010964579699444916,0.04451059376918995,0.025165644605160978,0.020527788760520017,0.030515982676532914,0.02358593789589987,0.03610641198622686,0.02730726310730258,0.024834972102011788,0.0,0.01841782256598721,0.024744579213833093,0.07266385272400477,0.029672894417640556,0.002869825363931709,0.021484296152528577,0.04956499159640595,0.021902851346476123,0.03535064377825381,0.019788656695657814,0.02647088907072904
lY2835219,0.03696312342855155,0.1325817644989436,0.018771512594154063,0.06277567607239003,0.12299256921398563,0.04283916004869498,0.023932625727848284,0.057020822597940245,0.037759721543437756,0.0877378692050943,0.07481902348619607,0.036094016480258825,0.09642869170880158,0.03981559152757813,0.03952002592672759,0.01841782256598721,0.0,0.038626987935009696,0.10741910398933317,0.04218097300199848,0.015377903948288488,0.03399484872610133,0.026137262679424716,0.03449160526538211,0.04785872236261193,0.033061702613554934,0.04005127293966168
lapatinib,0.04243968697116937,0.07219841431682764,0.024913827623928016,0.18398019844533267,0.03783008310508933,0.051986746888401415,0.03005792389365847,0.06788951919380339,0.04796387645602826,0.13493465272363322,0.05159105674367738,0.04250395852243704,0.056526917383922376,0.046620028445483415,0.044344024223634246,0.024744579213833093,0.038626987935009696,0.0,0.10997935772481338,0.04859091504417657,0.0217878459904688,0.04431125895616066,0.03171323139678449,0.2589752068715182,0.054268664404789876,0.038723720992111355,0.047844934645810265
letrozole,0.06971071825862817,0.356976265573025,0.049490686213345104,0.09498191729658265,0.07773374529589279,0.07312624250912485,0.13398388474982748,0.08733221891344103,0.07336720992793345,0.10506726256080536,0.24349961047860955,0.06631833873110918,0.17090729013951925,0.07005119075863249,0.193439171033472,0.07266385272400477,0.10741910398933317,0.10997935772481338,0.0,0.07240529525284925,0.045602226199140186,0.06433084077832567,0.11798354469097266,0.06732591003416447,0.07808304461346256,0.06473558738538829,0.13192335229638485
midazolam,0.047409187759814266,0.07419325360798636,0.0299210044398134,0.07414364471751303,0.042757865059413994,0.054262717400792713,0.03477678195738932,0.06844360735778256,0.04909079115711618,0.04429573407712808,0.053789728352686035,0.22046035805627467,0.05926413430423626,0.05124048982922041,0.04797005848796613,0.029672894417640556,0.04218097300199848,0.04859091504417657,0.07240529525284925,0.0,0.026803069053724163,0.04541737181875255,0.0363854885271447,0.04583216613319875,0.5028132992327393,0.043716063583916435,0.05024143251717042
pF-03084014,0.02060611870610586,0.047390184554278784,0.003117935386105561,0.047340575663803994,0.015954796005707487,0.027459648347084337,0.007973712903680793,0.04164053830407426,0.0222877221034079,0.017492665023420877,0.026986659298978578,0.020716112531972627,0.032461065250527735,0.024437420775512777,0.021166989434254234,0.002869825363931709,0.015377903948288488,0.0217878459904688,0.045602226199140186,0.026803069053724163,0.0,0.018614302765043198,0.00958241947343701,0.01902909707949062,0.032480818414331265,0.0169129945302085,0.023438363463462474
paclitaxel,0.03922051237638713,0.06607525597626453,0.021732250827473685,0.2535780939527083,0.03457027661296199,0.05991810105800904,0.026588584126877864,0.25872868927384807,0.045958120272594806,0.036206902145395924,0.045607515841601456,0.03933041529701267,0.051080251387536045,0.053333663017022734,0.03978474168714984,0.021484296152528577,0.03399484872610133,0.04431125895616066,0.06433084077832567,0.04541737181875255,0.018614302765043198,0.0,0.028197733558594198,0.04269415494544662,0.05109512117936595,0.03552733349141439,0.04563690706756939
palbociclib,0.031088221413904014,0.09237295826565564,0.01284810291936358,0.05694899412898847,0.026542356669996776,0.03704273219674269,0.018718553822727354,0.05122399649775757,0.03192591678043898,0.028320305017291308,0.0402575910407137,0.030298532005404097,0.07599637273027819,0.03401994237715092,0.07083887830404498,0.04956499159640595,0.026137262679424716,0.03171323139678449,0.11798354469097266,0.0363854885271447,0.00958241947343701,0.028197733558594198,0.0,0.028630328215555143,0.04206323788775787,0.02692198297287772,0.033863470125567716
panobinostat,0.03963768168753156,0.06666823495479984,0.022147393466151653,0.25186207628943824,0.03498880995634703,0.05047039463041401,0.027016203639802474,0.0675864318999376,0.0463163390199746,0.04206097750363655,0.04618230982832149,0.03974520961145867,0.051629521857377576,0.04397656859904913,0.040276828443352314,0.021902851346476123,0.03449160526538211,0.2589752068715182,0.06732591003416447,0.04583216613319875,0.01902909707949062,0.04269415494544662,0.028630328215555143,0.0,0.05150991549381215,0.03594311830101916,0.046028335311912395
propofol,0.05308693712042766,0.07987100296859968,0.03559875380042677,0.07982139407812645,0.048435614420027494,0.05994046676140603,0.0404545313180035,0.074121356718396,0.05476854051772961,0.049973483437741696,0.05946747771329952,0.35672634271100206,0.06494188366484961,0.05691823918983383,0.05364780784857928,0.03535064377825381,0.04785872236261193,0.054268664404789876,0.07808304461346256,0.5028132992327393,0.032480818414331265,0.05109512117936595,0.04206323788775787,0.05150991549381215,0.0,0.049393812944529894,0.05591918187778381
tucatinib,0.32465234305559953,0.0664889313867913,0.021929156363934978,0.0642548995229163,0.032911247055686585,0.04437267141172116,0.02493561847996782,0.05855358240340589,0.03920219848709583,0.035486787235590525,0.04602867460738934,0.037629107062176884,0.13681266920508314,0.0413504189609831,0.04164044225625287,0.019788656695657814,0.033061702613554934,0.038723720992111355,0.06473558738538829,0.043716063583916435,0.0169129945302085,0.03552733349141439,0.02692198297287772,0.03594311830101916,0.049393812944529894,0.0,0.04038102701474646
vinorelbine,0.04410288632258386,0.13527234488104373,0.02656664630158006,0.16292251061117413,0.04120878037393877,0.05325264153060551,0.03195949983531697,0.06876025198955299,0.3352601669657888,0.041709416443395674,0.05424944439959642,0.04415447599543088,0.05828597099087632,0.04823773897054744,0.04683051487397883,0.02647088907072904,0.04005127293966168,0.047844934645810265,0.13192335229638485,0.05024143251717042,0.023438363463462474,0.04563690706756939,0.033863470125567716,0.046028335311912395,0.05591918187778381,0.04038102701474646,0.0
