,alpelisib,anastrozole,canagliflozin,capecitabine,degarelix,docetaxel,entrectinib,epirubicin,eribulin,everolimus,exemestane,fentanyl,fulvestrant,gemcitabine,goserelin,hydroxychloroquine,lY2835219,lapatinib,letrozole,midazolam,pF-03084014,paclitaxel,palbociclib,panobinostat,propofol,tucatinib,vinorelbine
alpelisib,0.0,0.06956230854624874,0.019087100318056993,0.06642971915758517,0.03514418328123767,0.046546802050799446,0.027719885723587624,0.060727721016867485,0.04137832360371345,0.038090910555171636,0.048655730369410934,0.03980321285002642,0.14926124094912946,0.043524529458007714,0.07933208481176472,0.019087100318056945,0.03542311272713857,0.04091643762412185,0.06709706863065407,0.04589016937176543,0.019087100318057014,0.03770148591166449,0.027941931583095322,0.03811847107618009,0.0515679187323792,0.32303417342369545,0.04257620521148909
anastrozole,0.06956230854624874,0.0,0.047282654703767316,0.0959224513624094,0.29969520438854536,0.07478258871388965,0.06178382777931748,0.0889797156579156,0.07502663867120511,0.09088576116461644,0.25317568672979524,0.06799876723573654,0.17666101368251932,0.07172722124327835,0.16026379054724427,0.047282654703767656,0.13245463152602277,0.07208668170497025,0.3557749417252473,0.07408572375747544,0.04728265470376754,0.06596771808317062,0.09063077389295478,0.06656051417884594,0.07976347311808935,0.06629696369383348,0.135157176619374
canagliflozin,0.019087100318056993,0.047282654703767316,0.0,0.04734028444908667,0.01595283084811341,0.02745964207991117,0.00796792075501529,0.041640527434479935,0.02228734191199626,0.01746862879822597,0.026924359459348953,0.020716112531971885,0.03105803723142435,0.024437419970093622,0.021105224425114928,1.4525126843862535e-15,0.015358349723894276,0.021783668452026565,0.04451113643587687,0.026803069053711315,3.018533525660255e-15,0.018614294789472866,0.00795612955356625,0.019028907732394098,0.03248081841432497,0.01682889057065613,0.02343076271077151
capecitabine,0.06642971915758517,0.0959224513624094,0.04734028444908667,0.0,0.06333637230811068,0.19312676072090576,0.055329082043731576,0.2688402792932591,0.25531615615065784,0.06690614564856821,0.07440218157320336,0.06805639698105578,0.07849157885799637,0.09072484376126855,0.06852151902835656,0.047340284449086514,0.06275583047483273,0.1839757295935945,0.09389051973291193,0.07414335350279526,0.04734028444908663,0.2535777947621885,0.05532237640175959,0.25186159572206024,0.07982110286340913,0.06417050413877866,0.16291461848263367
degarelix,0.03514418328123767,0.29969520438854536,0.01595283084811341,0.06333637230811068,0.0,0.043413401452530975,0.024032950008370642,0.05759497128633931,0.03832986496446734,0.03557340707753397,0.05071863184143476,0.03666894338008424,0.052909393524606746,0.040390369762538646,0.040475547135404064,0.015952830848113962,0.12297104773631298,0.03782393980135229,0.07664052633482368,0.04275589990182321,0.01595283084811465,0.034568303478641364,0.024913853544159533,0.03498665542420372,0.0484336492624365,0.032825171280934276,0.041199213342413665
docetaxel,0.046546802050799446,0.07478258871388965,0.02745964207991117,0.19312676072090576,0.043413401452530975,0.0,0.035428010962447055,0.3252508167177879,0.05373284310347149,0.044988294494995175,0.05438793792136332,0.048175754611880256,0.058520502352527135,0.2819085145207741,0.048566981516652126,0.027459642079911886,0.04281959955267874,0.051982563080442946,0.07203514595513953,0.05426271113361923,0.027459642079911604,0.05991808681526911,0.035416435074621194,0.05047019901603227,0.05994046049423343,0.04428856118049729,0.053245034506633
entrectinib,0.027719885723587624,0.06178382777931748,0.00796792075501529,0.055329082043731576,0.024032950008370642,0.035428010962447055,0.0,0.04960922666261843,0.030282509167724347,0.02652264078712983,0.03711813857413077,0.028684033286983338,0.041558842921722405,0.03240539813040637,0.11607444007924021,0.007967920755014233,0.023907274015570346,0.030047951787378593,0.1328863328489981,0.03477098980872282,0.007967920755015227,0.026582783997975326,0.017085446326739324,0.027010222034684454,0.04044873916933692,0.02484571779600302,0.03194610241599118
epirubicin,0.060727721016867485,0.0889797156579156,0.041640527434479935,0.2688402792932591,0.05759497128633931,0.3252508167177879,0.04960922666261843,0.0,0.0708519791829232,0.05919713501607169,0.06857065659126528,0.06235663996644957,0.07270257711045859,0.36708987483251043,0.06274890111565769,0.041640527434479185,0.05700125749736234,0.0678853307819439,0.08624111755298483,0.0684435964881885,0.041640527434479546,0.25872867042868153,0.04959769424633558,0.0675862316830461,0.07412134584880196,0.0584694675664399,0.06875264036083775
eribulin,0.04137832360371345,0.07502663867120511,0.02228734191199626,0.25531615615065784,0.03832986496446734,0.05373284310347149,0.030282509167724347,0.0708519791829232,0.0,0.0399105187871547,0.04950816198250045,0.043003454443965944,0.053544067734380724,0.04723535191688727,0.04355867738454659,0.022287341911996626,0.03773978678083659,0.04795931856465138,0.07227569518295604,0.04909041096570511,0.0222873419119966,0.04595773210530573,0.0302991780781455,0.04631576947417262,0.05476816032631859,0.03911771410146891,0.33525218571985405
everolimus,0.038090910555171636,0.09088576116461644,0.01746862879822597,0.06690614564856821,0.03557340707753397,0.044988294494995175,0.02652264078712983,0.05919713501607169,0.0399105187871547,0.0,0.11988400535146183,0.03818474133019744,0.11207841108275346,0.04191614064335389,0.06675575922946118,0.017468628798225853,0.08769426316421525,0.13490643592689197,0.10395175664451188,0.04427169785193609,0.017468628798226762,0.0361828579371919,0.026669070647699713,0.042036751751622255,0.04994944721254895,0.03537848102900544,0.04167777493926243
exemestane,0.048655730369410934,0.25317568672979524,0.026924359459348953,0.07440218157320336,0.05071863184143476,0.05438793792136332,0.03711813857413077,0.06857065659126528,0.04950816198250045,0.11988400535146183,0.0,0.047640471991318344,0.185026518130798,0.05136244126020591,0.056638772512124805,0.02692435945934935,0.07473713184848776,0.05152456833563128,0.2423447572742347,0.05372742851305726,0.026924359459349567,0.045545207998919174,0.03856539429567657,0.04611981998761349,0.05940517787367179,0.04588194015640197,0.05417952691117476
fentanyl,0.03980321285002642,0.06799876723573654,0.020716112531971885,0.06805639698105578,0.03666894338008424,0.048175754611880256,0.028684033286983338,0.06235663996644957,0.043003454443965944,0.03818474133019744,0.047640471991318344,0.0,0.051774149763393604,0.04515353250206337,0.04182133695708428,0.02071611253197224,0.03607446225586345,0.04249978098399609,0.06522724896784479,0.22046035805626854,0.0207161125319733,0.03933040732144184,0.028672242085535295,0.03974502026436394,0.3567263427109997,0.03754500310262563,0.04414687524274077
fulvestrant,0.14926124094912946,0.17666101368251932,0.03105803723142435,0.07849157885799637,0.052909393524606746,0.058520502352527135,0.041558842921722405,0.07270257711045859,0.053544067734380724,0.11207841108275346,0.185026518130798,0.051774149763393604,0.0,0.05549595033691598,0.10212337093558485,0.031058037231424043,0.09500520419001644,0.055119658383150166,0.16841009638662335,0.05786110628513254,0.03105803723142391,0.04967721527254795,0.07296248071861991,0.050226301216238625,0.06353885564574636,0.13531197170762474,0.056875280578768256
gemcitabine,0.043524529458007714,0.07172722124327835,0.024437419970093622,0.09072484376126855,0.040390369762538646,0.2819085145207741,0.03240539813040637,0.36708987483251043,0.04723535191688727,0.04191614064335389,0.05136244126020591,0.04515353250206337,0.05549595033691598,0.0,0.04554299273863128,0.024437419970093383,0.03979603649703192,0.046615850101290796,0.06896010009606082,0.05124048902380197,0.024437419970093924,0.05333365423604041,0.032393651508125815,0.04397637844652619,0.0569182383844157,0.041266314195441606,0.04823013741181249
goserelin,0.07933208481176472,0.16026379054724427,0.021105224425114928,0.06852151902835656,0.040475547135404064,0.048566981516652126,0.11607444007924021,0.06274890111565769,0.04355867738454659,0.06675575922946118,0.056638772512124805,0.04182133695708428,0.10212337093558485,0.04554299273863128,0.0,0.021105224425114928,0.03943866897707829,0.04427806849368138,0.1922843819511915,0.047908293478823784,0.0211052244251135,0.03972296867007553,0.06914630334137517,0.04021487332128788,0.05358604283943699,0.04149430802209893,0.0467611283965433
hydroxychloroquine,0.019087100318056945,0.047282654703767656,1.4525126843862535e-15,0.047340284449086514,0.015952830848113962,0.027459642079911886,0.007967920755014233,0.041640527434479185,0.022287341911996626,0.017468628798225853,0.02692435945934935,0.02071611253197224,0.031058037231424043,0.024437419970093383,0.021105224425114928,0.0,0.015358349723893373,0.021783668452025208,0.044511136435875995,0.02680306905371125,1.6243412813135548e-15,0.018614294789473126,0.007956129553565205,0.019028907732393786,0.0324808184143251,0.016828890570656133,0.02343076271077184
lY2835219,0.03542311272713857,0.13245463152602277,0.015358349723894276,0.06275583047483273,0.12297104773631298,0.04281959955267874,0.023907274015570346,0.05700125749736234,0.03773978678083659,0.08769426316421525,0.07473713184848776,0.03607446225586345,0.09500520419001644,0.03979603649703192,0.03943866897707829,0.015358349723893373,0.0,0.03860325317754737,0.10630805165648433,0.04216141877760264,0.015358349723893454,0.03397528651882059,0.024490464725607432,0.03447186151868984,0.04783916813821662,0.03295792479227153,0.040024113379698606
lapatinib,0.04091643762412185,0.07208668170497025,0.021783668452026565,0.1839757295935945,0.03782393980135229,0.051982563080442946,0.030047951787378593,0.0678853307819439,0.04795931856465138,0.13490643592689197,0.05152456833563128,0.04249978098399609,0.055119658383150166,0.046615850101290796,0.04427806849368138,0.021783668452025208,0.03860325317754737,0.0,0.10888374672255312,0.048586737505734924,0.02178366845202616,0.04430707343879663,0.030082150369790638,0.25897083990740993,0.05426448686634856,0.03863543589306793,0.047833153649990176
