drug_1,drug_2,drug_3,synergy_score
fentanyl,midazolam,propofol,1.0
docetaxel,epirubicin,gemcitabine,0.8556239425022976
anastrozole,exemestane,letrozole,0.6672381353601126
capecitabine,eribulin,vinorelbine,0.6167023719667897
capecitabine,epirubicin,paclitaxel,0.6151701425413723
capecitabine,docetaxel,epirubicin,0.6025401617445741
capecitabine,lapatinib,panobinostat,0.56358961299572
anastrozole,degarelix,letrozole,0.5615406831229486
epirubicin,gemcitabine,paclitaxel,0.5540953425099475
capecitabine,epirubicin,gemcitabine,0.5432810154127492
anastrozole,goserelin,letrozole,0.5244837859719322
alpelisib,fulvestrant,tucatinib,0.5148470976523762
docetaxel,epirubicin,paclitaxel,0.5092050492978502
anastrozole,fulvestrant,letrozole,0.4947199946220287
everolimus,midazolam,propofol,0.48209718670077023
lY2835219,midazolam,propofol,0.4820971867007696
midazolam,panobinostat,propofol,0.4820971867007694
lapatinib,midazolam,propofol,0.48209718670076934
epirubicin,midazolam,propofol,0.4820971867007693
degarelix,midazolam,propofol,0.4820971867007693
