drug_1,drug_2,drug_3,synergy_score
fentanyl,midazolam,propofol,1.0
docetaxel,epirubicin,gemcitabine,0.8556239425022976
anastrozole,exemestane,letrozole,0.6672381353601126
capecitabine,eribulin,vinorelbine,0.6167023719667897
capecitabine,epirubicin,paclitaxel,0.6151701425413723
capecitabine,docetaxel,epirubicin,0.6025401617445741
capecitabine,lapatinib,panobinostat,0.56358961299572
anastrozole,degarelix,letrozole,0.5615406831229486
epirubicin,gemcitabine,paclitaxel,0.5540953425099475
capecitabine,epirubicin,gemcitabine,0.5432810154127492
anastrozole,goserelin,letrozole,0.5244837859719322
alpelisib,fulvestrant,tucatinib,0.5148470976523762
docetaxel,epirubicin,paclitaxel,0.5092050492978502
anastrozole,fulvestrant,letrozole,0.4947199946220287
everolimus,midazolam,propofol,0.48209718670077023
lY2835219,midazolam,propofol,0.4820971867007696
midazolam,panobinostat,propofol,0.4820971867007694
lapatinib,midazolam,propofol,0.48209718670076934
epirubicin,midazolam,propofol,0.4820971867007693
degarelix,midazolam,propofol,0.4820971867007693
entrectinib,midazolam,propofol,0.48209718670076895
midazolam,paclitaxel,propofol,0.4820971867007687
capecitabine,midazolam,propofol,0.4820971867007687
hydroxychloroquine,midazolam,propofol,0.4820971867007686
goserelin,midazolam,propofol,0.4820971867007685
exemestane,midazolam,propofol,0.48209718670076845
midazolam,propofol,tucatinib,0.4820971867007684
eribulin,midazolam,propofol,0.4820971867007684
alpelisib,midazolam,propofol,0.4820971867007684
fulvestrant,midazolam,propofol,0.4820971867007684
canagliflozin,midazolam,propofol,0.4820971867007683
letrozole,midazolam,propofol,0.48209718670076795
gemcitabine,midazolam,propofol,0.4820971867007678
anastrozole,midazolam,propofol,0.4820971867007675
midazolam,palbociclib,propofol,0.4820971867007672
docetaxel,midazolam,propofol,0.4820971867007671
midazolam,pF-03084014,propofol,0.4820971867007666
midazolam,propofol,vinorelbine,0.4820971867007663
anastrozole,degarelix,exemestane,0.46007590536665754
anastrozole,exemestane,fulvestrant,0.4394925171239588
anastrozole,degarelix,lY2835219,0.43253610119493646
anastrozole,letrozole,vinorelbine,0.4253338675483466
exemestane,fulvestrant,letrozole,0.42477641906344465
anastrozole,lY2835219,letrozole,0.4132971121529256
capecitabine,eribulin,paclitaxel,0.4112693920837516
capecitabine,paclitaxel,panobinostat,0.41105040670107174
