drug_1,drug_2,drug_3,synergy_score
afatinib,cabozantinib,regorafenib,1.0
erlotinib,gefitinib,icotinib hydrochloride,0.7690541836781084
docetaxel,gemcitabine,vinorelbine,0.5780370782175458
erlotinib,gemcitabine,vinorelbine,0.4042153182894406
erlotinib,gefitinib,vinorelbine,0.34503129273568217
erlotinib,icotinib hydrochloride,vinorelbine,0.3450312927356818
erlotinib,gemcitabine,icotinib hydrochloride,0.34475863990577643
erlotinib,gefitinib,gemcitabine,0.34475863990577443
afatinib,cabozantinib,erlotinib,0.343137254901961
afatinib,cabozantinib,vinorelbine,0.343137254901961
afatinib,cabozantinib,icotinib hydrochloride,0.343137254901961
afatinib,cabozantinib,gemcitabine,0.343137254901961
afatinib,cabozantinib,gefitinib,0.343137254901961
afatinib,cabozantinib,docetaxel,0.343137254901961
cabozantinib,icotinib hydrochloride,regorafenib,0.34313725490196045
cabozantinib,regorafenib,vinorelbine,0.34313725490196045
cabozantinib,docetaxel,regorafenib,0.34313725490196045
cabozantinib,gefitinib,regorafenib,0.34313725490196045
cabozantinib,gemcitabine,regorafenib,0.34313725490196045
cabozantinib,erlotinib,regorafenib,0.34313725490196045
