drug_1,drug_2,drug_3,synergy_score
afatinib,cabozantinib,regorafenib,1.0
erlotinib,gefitinib,icotinib hydrochloride,0.7690541836781084
docetaxel,gemcitabine,vinorelbine,0.5780370782175458
erlotinib,gemcitabine,vinorelbine,0.4042153182894406
erlotinib,gefitinib,vinorelbine,0.34503129273568217
erlotinib,icotinib hydrochloride,vinorelbine,0.3450312927356818
erlotinib,gemcitabine,icotinib hydrochloride,0.34475863990577643
erlotinib,gefitinib,gemcitabine,0.34475863990577443
afatinib,cabozantinib,erlotinib,0.343137254901961
afatinib,cabozantinib,vinorelbine,0.343137254901961
afatinib,cabozantinib,icotinib hydrochloride,0.343137254901961
afatinib,cabozantinib,gemcitabine,0.343137254901961
afatinib,cabozantinib,gefitinib,0.343137254901961
afatinib,cabozantinib,docetaxel,0.343137254901961
cabozantinib,icotinib hydrochloride,regorafenib,0.34313725490196045
cabozantinib,regorafenib,vinorelbine,0.34313725490196045
cabozantinib,docetaxel,regorafenib,0.34313725490196045
cabozantinib,gefitinib,regorafenib,0.34313725490196045
cabozantinib,gemcitabine,regorafenib,0.34313725490196045
cabozantinib,erlotinib,regorafenib,0.34313725490196045
docetaxel,erlotinib,vinorelbine,0.3355802936110237
gefitinib,icotinib hydrochloride,vinorelbine,0.3153635384858353
gefitinib,gemcitabine,icotinib hydrochloride,0.31532264056134984
afatinib,erlotinib,regorafenib,0.3137254901960786
afatinib,gefitinib,regorafenib,0.3137254901960786
afatinib,gemcitabine,regorafenib,0.3137254901960786
afatinib,icotinib hydrochloride,regorafenib,0.3137254901960786
afatinib,regorafenib,vinorelbine,0.3137254901960786
afatinib,docetaxel,regorafenib,0.3137254901960786
docetaxel,gefitinib,icotinib hydrochloride,0.3006583489208574
afatinib,gefitinib,icotinib hydrochloride,0.29887247288496815
gefitinib,icotinib hydrochloride,regorafenib,0.29887247288496815
cabozantinib,gefitinib,icotinib hydrochloride,0.29887247288496815
docetaxel,erlotinib,gemcitabine,0.2692957067344205
docetaxel,erlotinib,icotinib hydrochloride,0.24837330841349187
docetaxel,erlotinib,gefitinib,0.24837330841349112
erlotinib,icotinib hydrochloride,regorafenib,0.2350908553965703
afatinib,erlotinib,icotinib hydrochloride,0.2350908553965703
cabozantinib,erlotinib,icotinib hydrochloride,0.2350908553965703
erlotinib,gefitinib,regorafenib,0.23509085539657
afatinib,erlotinib,gefitinib,0.23509085539657
cabozantinib,erlotinib,gefitinib,0.23509085539657
docetaxel,gefitinib,vinorelbine,0.23063434489174706
docetaxel,icotinib hydrochloride,vinorelbine,0.2306343448917469
afatinib,docetaxel,vinorelbine,0.22149587407336874
docetaxel,regorafenib,vinorelbine,0.22149587407336874
cabozantinib,docetaxel,vinorelbine,0.22149587407336874
gemcitabine,icotinib hydrochloride,vinorelbine,0.21754832971837276
gefitinib,gemcitabine,vinorelbine,0.2175483297183717
afatinib,gemcitabine,vinorelbine,0.2010777130797478
gemcitabine,regorafenib,vinorelbine,0.2010777130797478
cabozantinib,gemcitabine,vinorelbine,0.2010777130797478
docetaxel,gemcitabine,icotinib hydrochloride,0.164581512920566
docetaxel,gefitinib,gemcitabine,0.16458151292056378
docetaxel,gemcitabine,regorafenib,0.15546349106442936
afatinib,docetaxel,gemcitabine,0.15546349106442936
cabozantinib,docetaxel,gemcitabine,0.15546349106442936
afatinib,erlotinib,vinorelbine,0.10169490453867826
erlotinib,regorafenib,vinorelbine,0.10169490453867826
cabozantinib,erlotinib,vinorelbine,0.10169490453867826
cabozantinib,erlotinib,gemcitabine,0.10144270067101448
erlotinib,gemcitabine,regorafenib,0.10144270067101448
afatinib,erlotinib,gemcitabine,0.10144270067101448
docetaxel,erlotinib,regorafenib,0.012389514998976682
cabozantinib,docetaxel,erlotinib,0.012389514998976682
afatinib,docetaxel,erlotinib,0.012389514998976682
gefitinib,regorafenib,vinorelbine,0.008245532800433926
cabozantinib,gefitinib,vinorelbine,0.008245532800433926
afatinib,gefitinib,vinorelbine,0.008245532800433926
cabozantinib,icotinib hydrochloride,vinorelbine,0.008245532800433239
afatinib,icotinib hydrochloride,vinorelbine,0.008245532800433239
icotinib hydrochloride,regorafenib,vinorelbine,0.008245532800433239
cabozantinib,gemcitabine,icotinib hydrochloride,0.008225083838191724
afatinib,gemcitabine,icotinib hydrochloride,0.008225083838191724
gemcitabine,icotinib hydrochloride,regorafenib,0.008225083838191724
cabozantinib,gefitinib,gemcitabine,0.008225083838189987
gefitinib,gemcitabine,regorafenib,0.008225083838189987
afatinib,gefitinib,gemcitabine,0.008225083838189987
docetaxel,icotinib hydrochloride,regorafenib,0.0008929380179449093
cabozantinib,docetaxel,icotinib hydrochloride,0.0008929380179449093
afatinib,docetaxel,icotinib hydrochloride,0.0008929380179449093
docetaxel,gefitinib,regorafenib,0.0008929380179444025
cabozantinib,docetaxel,gefitinib,0.0008929380179444025
afatinib,docetaxel,gefitinib,0.0008929380179444025
